node_id,degree
0,5
1,7
1040,1
529,6
4113,4
530,4
1556,2
3607,2
536,1
540,1
3101,1
1055,2
545,3
546,5
2088,7
2093,4
1072,4
1073,5
52,2
65,1
2119,4
585,5
73,1
1609,3
586,4
1611,3
3662,2
2128,6
1105,1
1616,1
3156,2
606,3
607,1
100,1
2150,0
617,0
1642,0
1130,1
621,8
1650,1
121,3
3194,4
2683,1
1659,2
1151,0
647,3
2699,1
140,2
1679,1
1168,2
1174,2
4248,0
153,1
4250,1
2721,2
1188,1
169,0
4266,2
1194,2
684,2
1198,0
175,1
688,2
1716,5
180,7
2746,2
1213,1
1727,2
1463,0
1730,2
3266,1
2756,4
4293,1
1222,5
2255,5
208,1
1743,2
723,3
728,3
1244,3
223,6
2788,2
3301,3
1768,1
745,1
234,2
2797,4
2287,1
1264,4
3311,3
4338,0
1267,2
1781,4
3829,1
258,1
2308,3
2310,1
1290,2
270,1
272,1
2321,3
1813,7
1303,1
1306,2
2842,2
3357,1
1822,4
287,5
1314,8
802,4
2851,1
1318,4
1831,3
297,0
809,1
300,6
302,4
814,2
1333,1
312,15
3385,1
316,4
828,1
2367,2
2369,1
322,1
2882,3
1860,1
1355,3
1356,1
1357,0
2382,5
2383,7
3408,7
335,3
1360,2
4436,3
341,0
2904,2
3416,0
3418,2
1884,0
861,3
2399,3
355,1
1892,3
358,1
359,4
2408,1
888,9
1919,6
895,0
1923,3
3464,3
2441,3
1931,1
1424,7
1938,0
1428,2
407,2
410,3
924,1
925,5
933,2
937,2
2485,4
437,4
2999,4
1976,7
1977,6
1978,8
1464,5
955,2
957,2
956,2
1466,0
448,0
1474,2
454,2
1994,2
970,2
2515,1
1495,1
1497,3
477,1
3038,6
1512,2
3563,5
1003,0
493,7
4075,1
495,2
1520,3
497,4
2546,1
1012,3
2549,2
1530,0
1019,1
2557,2
